Table,Field,Description,Example,Insights Logs
Transaction Information,%s{eedone},Indicates if the characters specified in the Feed Escape Character field of the NSS feed configuration page were hex encoded,,This field is specific to NSS
User Information,%s{login},The user's login name in email address format,jdoe@safemarch.com,User
User Information,%s{dept},The department of the user,Sales,Department
Zscaler Client Connector Device Information,%s{devicehostname},The hostname of the device,THINKPADSMITH,Device Hostname
Zscaler Client Connector Device Information,%s{devicemodel},The model of the device,20L8S7WC08,Device Model
Zscaler Client Connector Device Information,%s{devicename},The name of the device,admin,Device Name
Zscaler Client Connector Device Information,%s{deviceostype},The OS type of the device,"iOS
Android OS
Windows OS
MAC OS
Other OS",OS Type
Zscaler Client Connector Device Information,%s{deviceosversion},The OS version that the device uses,Version 10.14.2 (Build 18C54),OS Version
Zscaler Client Connector Device Information,%s{deviceowner},The owner of the device,jsmith,Device Owner
Zscaler Client Connector Device Information,%s{deviceappversion},The app version that the device app uses,2.0.0.120,Enrolled Device appversion
Zscaler Client Connector Device Information,%s{external_deviceid},The external device ID that associates a user’s device with the mobile device management (MDM) solution,1234,External Device ID
Zscaler Client Connector Device Information,%s{ztunnelversion},The Z-Tunnel version,ZTUNNEL_1_0,Zscaler Client Connector Tunnel Version
Zscaler Client Connector Device Information,%d{bypassed_session},Indicates whether the traffic bypassed the Zscaler Client Connector. It is a numeric value (1 or 0).,"1 indicates that the traffic bypassed Zscaler Client Connector
0 indicates that the traffic did not bypass Zscaler Client Connector",Bypassed Session
Zscaler Client Connector Device Information,%s{bypass_etime},The date and time when the traffic bypassed the Zscaler Client Connector,Mon Oct 16 22:55:48 2023,Bypassed Session Event Time
Zscaler Client Connector Device Information,%s{flow_type},The flow type of the transaction,"Direct
Loopback
VPN
VPN Tunnel
ZIA
ZPA",Flow Type
Data Center,%s{datacenter},The name of the data center,CA Client Node DC,Data Center
Data Center,%s{datacentercity},The city where the data center is located,Sa,
Data Center,%s{datacentercountry},The country where the data center is located,US,
Forwarding Control,%s{rdr_rulename},The name of the redirect/forwarding policy,"FWD_Rule_1
Any name under the Rule Name column on the Forwarding Control page (Policy > Forwarding Control)",Forwarding Rule
Forwarding Control,%s{fwd_gw_name},The name of the gateway defined in a forwarding rule,FWD_1,Gateway Name
Forwarding Control,%s{zpa_app_seg_name},The name of the Zscaler Private Access (ZPA) application segment,ZPA_test_app_segment,Application Segment
