Table,Field,Description,Example,Insights Logs
Date/Time,%s{time},The time and date of the transaction. This excludes the time zone.,Mon Oct 16 22:55:48 2023,Logged Time
Date/Time,%s{tz},The time zone. This is the same as the time zone you specified when you configured the NSS feed.,GMT,
Date/Time,%02d{ss},Seconds (0–59),48,This field is derived from Logged Time
Date/Time,%02d{mm},Minutes (0–59),55,This field is derived from Logged Time
Date/Time,%02d{hh},Hours (0–23),22,This field is derived from Logged Time
Date/Time,%02d{dd},The day of the month (1–31),16,This field is derived from Logged Time
Date/Time,%02d{mth},The month of the year,10,This field is derived from Logged Time
Date/Time,%04d{yyyy},Year,2023,This field is derived from Logged Time
Date/Time,%s{mon},The name of the month,Oct,This field is derived from Logged Time
Date/Time,%s{day},The day of the week,Mon,This field is derived from Logged Time
Date/Time,%d{epochtime},The epoch time of the transaction,1578128400,
User Information,%s{login},The user's login name in email address format,jdoe@safemarch.com,User
User Information,%s{dept},The department of the user,Sales,Department
User Information,%s{company},The name of the company,Zscaler,This field is specific to NSS
User Information,%s{cloudname},The name of the Zscaler cloud,zscaler.net,This field is specific to NSS
Bandwidth Control,%d{throttlereqsize},The throttled transaction size in the Uplink direction (Upload) in bytes,5,Throttled request bytes
Bandwidth Control,%d{throttlerespsize},The throttled transaction size in the Downlink direction (Download) in bytes,7,Throttled response bytes
Bandwidth Control,%s{bwthrottle},Indicates whether the transaction was throttled due to a configured bandwidth policy,Yes,
Bandwidth Control,%s{bwclassname},The name of the bandwidth class,"Entertainment, General Surfing, Office Apps
The full list is under the Bandwidth Classes field on the Bandwidth Control page (Policy > Bandwidth Control).",Bandwidth Class
Bandwidth Control,%s{bwrulename},The name of the bandwidth rule,"Office 365
Any name under the Rule Name column on the Bandwidth Control page (Policy > Bandwidth Control)",Bandwidth Rule
Cloud Application,%s{appname},The name of the cloud application,"Adobe Connect, Craigslist, Dropbox
The full list is on the Cloud Applications page (Administration > Cloud Applications). ",Cloud Application
Cloud Application,%s{appclass},The cloud application category of the application that was accessed,"Administration, Collaboration, Web Mail
The full list is on the Cloud App Control Policy page (Policy > URL & Cloud App Control > Cloud App Control Policy).",Cloud Application Class
Cloud Application,%s{app_risk_score},"The computed or assigned risk index for the cloud application, with 1 being the lowest risk and 5 being the highest. If the risk index is not available, the field displays None.","1–5
None",Risk Index
Cloud Application,%s{app_status},The status of the cloud application,"Sanctioned
Unsanctioned
N/A",Application Status
Cloud Application,%s{activity},The name of the action the user performed on the application,Download,Application Activity
Cloud Application,%s{prompt_req},The prompt entered by the user in the generative AI application,,Prompt
Cloud Application,%s{inst_level1_type},"The level 1 type (e.g., Organization for Google Cloud Platform). The Instance Discovery Report provides visibility about the different cloud application instances accessed by users at various levels of a hierarchy. To learn more, see About the Instance Discovery Report. ",ORG,App Instance Level 1 Type
Cloud Application,%s{inst_level1_id},"The level 1 ID associated with the discovered cloud application instance. To learn more, see About the Instance Discovery Report.",12324321232,App Instance Level 1
Cloud Application,%s{inst_level1_name},"Additional information regarding the discovered cloud application instance, if available.",org_12324321232,
Cloud Application,%s{inst_level2_type},"The level 2 type (e.g., Project for Google Cloud Platform). The Instance Discovery Report provides visibility about the different cloud application instances accessed by users at various levels of a hierarchy. To learn more, see About the Instance Discovery Report. ",PROJECT,App Instance Level 2 Type
Cloud Application,%s{inst_level2_id},"The level 2 ID associated with the discovered cloud application instance. To learn more, see About the Instance Discovery Report.",project_max1,App Instance Level 2
Cloud Application,%s{inst_level2_name},"Additional information regarding the discovered cloud application instance, if available.",genai_pr,
Cloud Application,%s{inst_level3_type},"The level 3 type (e.g., Resource Type for Google Cloud Platform). The Instance Discovery Report provides visibility about the different cloud application instances accessed by users at various levels of a hierarchy. To learn more, see About the Instance Discovery Report. ",RESOURCE_TYPE,App Instance Level 3 Type
Cloud Application,%s{inst_level3_id},"The level 3 ID associated with the discovered cloud application instance. To learn more, see About the Instance Discovery Report.",Vertex AI,App Instance Level 3
Cloud Application,%s{inst_level3_name},"Additional information regarding the discovered cloud application instance, if available.",None,
Data Center,%s{datacenter},The name of the data center,CA Client Node DC,Data Center
Data Center,%s{datacentercity},The city where the data center is located,Sa,
Data Center,%s{datacentercountry},The country where the data center is located,US,
DLP,%s{dlpdict},"The DLP dictionaries that were matched, if any","Credit Cards|Gambling|MRN Numbers
The full list is under the Name column on the DLP Dictionaries page (Administration > DLP Dictionaries & Engines).",DLP Dictionaries
DLP,%s{dlpdicthitcount},The number of hits for each of the dictionaries that were matched in the transaction,4|5|1|2,
DLP,%s{dlpeng},"The DLP engine that was matched, if any","HIPAA
The full list is under the Name column on the DLP Engines page (Administration > DLP Dictionaries & Engines).",DLP Engine
DLP,%d{dlpidentifier},The unique identifier of the DLP incident,6646484838839025669,DLP Identifier
DLP,%s{dlpmd5},The MD5 hash of the transaction,154f149b1443fbfa8c121d13e5c019a1 ​​​​​​,DLP MD5
DLP,%s{dlprulename},"The name of the DLP rule applied to the transaction. Applies only to Allow rules, not Block. To enable logging for DLP Allowed Rule Name, contact Zscaler Support.","DLP_Rule_1
Any Rule Name with the Allow Action on the Data Loss Prevention page (Policy > Data Loss Prevention)",Allowed DLP Rule Name
DLP,%s{trig_dlprulename},"The name of the DLP rule that triggered a transaction, which can be either allowed or blocked.",DLP_Rule_1,
DLP,%s{other_dlprulenames},"The names of all the DLP rules that were evaluated and passed, but no action was taken.","[DLP_Rule_4, DLP_Rule_5]",Other DLP Rules
DLP,%s{all_dlprulenames},The names of all DLP rules whether they were triggered or not. This field is a combination of %s{other_dlprulenames} and %s{trig_dlprulename}.,"[DLP_Rule_1, DLP_Rule_4, DLP_Rule_5]",
File Type Control,%s{fileclass},The class of file downloaded during the transaction,"Active Web Contents, Archive Files, Audio
The full list is under the File Type field on the File Type Control page (Policy > File Type Control).",
File Type Control,%s{filetype},The type of file downloaded during the transaction,"RAR Files, ZIP, Windows Executables
The full list is under the File Type field on the File Type Control page (Policy > File Type Control).",Download File Type
File Type Control,%s{filename},The name of downloaded files during the transaction,nssfeed.txt,Download File Name
File Type Control,%s{filesubtype},The subtype of the downloaded file (extension name),"rar, exe, ppt
Subtypes are in parentheses under the File Types field on the File Type Control page (Policy > File Type Control).",
File Type Control,%s{upload_fileclass},The class of file uploaded during the transaction,"Active Web Contents, Archive Files, Audio
The full list is under the File Type field on the File Type Control page (Policy > File Type Control).",
File Type Control,%s{upload_filetype},The type of file uploaded during the transaction,"RAR Files, ZIP, Windows Executables
The full list is under the File Type field on the File Type Control page (Policy > File Type Control).",Upload File Type
File Type Control,%s{upload_filename},The name of uploaded files during the transaction,nssfeed.exe,Upload File Name
File Type Control,%s{upload_filesubtype},The subtype of the uploaded file (extension name),"rar, exe, ppt
Subtypes are in parentheses under the File Types field on the File Type Control page (Policy > File Type Control).",
File Type Control,%s{upload_doctypename},The type of document uploaded or downloaded during the transaction,"Corporate Finance
Court Form
DMV
Insurance
Legal",Document Type
File Type Control,%s{unscannabletype},"The unscannable file type:
Encrypted or password-protected (e.g., GZIP, PDF)
Unscannable (e.g., corrupt archive)
Undetectable (unable to determine the file type, based on multiple methods)","Encrypted File
Undetectable File
Unscannable File",Unscannable Type
Forwarding Control,%s{rdr_rulename},The name of the redirect/forwarding policy,"FWD_Rule_1
Any name under the Rule Name column on the Forwarding Control page (Policy > Forwarding Control)",Forwarding Rule
Forwarding Control,%s{fwd_type},The type of forwarding method used,"Direct
Drop
Proxy Chaining
ZPA",Forwarding Method
Forwarding Control,%s{fwd_gw_name},The name of the gateway defined in a forwarding rule,FWD_1,Gateway Name
Forwarding Control,%s{fwd_gw_ip},The IP address of the gateway used,"10.1.1.1
10.1.1.1-10.1.1.5
10.1.1.0/24",Gateway IP
Forwarding Control,%s{zpa_app_seg_name},The name of the Zscaler Private Access (ZPA) application segment,ZPA_test_app_segment,Application Segment
HTTP Transaction,%d{reqdatasize},"The size of the HTTP request payload, excluding the headers, in bytes",1000,
HTTP Transaction,%d{reqhdrsize},The size of the HTTP request header in bytes,300,
HTTP Transaction,%d{reqsize},The request size in bytes,1300,Sent Bytes
HTTP Transaction,%d{respdatasize},"The size of the HTTP response payload, excluding the headers, in bytes",10000,
HTTP Transaction,%d{resphdrsize},The size of the HTTP response header in bytes,500,
HTTP Transaction,%d{respsize},"The total size of the HTTP response, including the header and payload, in bytes",10500,Received Bytes
HTTP Transaction,%d{totalsize},The total size of the HTTP transaction in bytes. The sum of the total request size and total response size.,11800,Total Bytes
HTTP Transaction,%s{reqmethod},The HTTP request method,"invalid, get, connect",Request Method
HTTP Transaction,%s{reqversion},The HTTP request version,1.1,Request HTTP Version
HTTP Transaction,%s{respcode},The HTTP response code sent to the client. The service generates a 403-Forbidden response for blocked transactions.,"100 - Continue
202 - Accepted
305 - Use Proxy
403 - Forbidden
500 - Internal Server Error",Response Code
HTTP Transaction,%s{respversion},The HTTP response version,1,Response HTTP Version
HTTP Transaction,%s{referer},The HTTP referrer URL,www.google.com,Referrer URL
HTTP Transaction,%s{refererhost},The hostname of the referrer URL,www.example.com for http://www.example.com/index.html,
HTTP Transaction,%s{uaclass},The user agent class,"Firefox, Chrome, Safari",
HTTP Transaction,%s{ua},The full user agent string for both known and unknown agents. The user agent string contains browser and system information that the destination server can use to provide appropriate content.,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0),User Agent
HTTP Transaction,%s{ua_token},The user agent token. This displays None if the user agent token doesn't exist.,"Google Chrome (0.x)
Mozilla (5.0)",
HTTP Transaction,%s{host},"The destination hostname. If present, the host value in the HTTP request line populates this field. If the host value in the HTTP request line is not present, the host header is used.",mail.google.com,
HTTP Transaction,%s{url},"The destination URL. It excludes the protocol identifier (e.g., http:// or https://).",www.trythisencodeurl.com/index,URL
HTTP Transaction,%s{df_hostname},An optional field that contains the TLS connection's Server Name Indication (SNI) in cases that the HTTPS request host header does not match the SNI. TLS Inspection must be enabled for this field to be populated. The field is present in the logs only if there is a mismatch.,,Domain Fronted SNI
HTTP Transaction,%s{df_hosthead},The field contains HTTP/S transactions that indicate domain fronting due to an FQDN mismatch between the request URL and the request's host header. The field is present in the logs only if there is a mismatch.,,Domain Fronted Host Header
HTTP Transaction,%s{contenttype},The name of the content type,"application/vnd_apple_keynote
image/gif
text/x_python
The full list is under the Content Type filter on the Web Insights page (Analytics > Web Insights).",Content Type
Mobile Application,%s{mobappname},"The name of the mobile app, if any","Adobe Reader, Amazon, Dropbox
The full list is under the Mobile Application filter on the Mobile Insights page (Analytics > Mobile Insights).",Mobile Application
Mobile Application,%s{mobappcat},"The category of the mobile app, if any","Communication, Education, Games
The full list is under the Mobile Application Category filter on the Mobile Insights page (Analytics > Mobile Insights).",Mobile Application Category
Mobile Application,%s{mobdevtype},The type of mobile device,"iOS, Google Android, Apple iPhone
The full list is under the Mobile Device Type filter on the Mobile Insights page (Analytics > Mobile Insights).",Mobile Device Type
